    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  30 11 18 Ground  31  5  9  15118.7304040725     -               3.13830799454521E-5 0.0000 : pP4(31) : Excited v=1 30  3      E2u - Ground v=0 31  4 E2g
SymmetricTop Excited  49 11  3 Ground  50  5  2  15118.7236703125     -               3.09919526845762E-5 0.0000 : pP46(50) : Excited v=1 49 45      E2u - Ground v=0 50 46 E2g
SymmetricTop Excited  48 11  4 Ground  49  5  2  15118.7252963625     -               3.06005782092026E-5 0.0000 : pP44(49) : Excited v=1 48 43      E2u - Ground v=0 49 44 E2g
SymmetricTop Excited  31  7 10 Ground  32  1  5  15118.7216234025     -               3.03961901915413E-5 0.0000 : pP6A2g(32) : Excited v=1 31  5      A2u - Ground v=0 32  6 A2g
SymmetricTop Excited  28  7  9 Ground  29  1  5  15118.7489410425     -               6.51343060171558E-5 0.0000 : rP0(29) : Excited v=1 28  1      A2u - Ground v=0 29  0 A2g
SymmetricTop Excited  52 10  1 Ground  53  4  1  15118.74824758       -               3.96990181975842E-5 0.0000 : pP53(53) : Excited v=1 52 52      E1u - Ground v=0 53 53 E1g
SymmetricTop Excited  51  8  1 Ground  52  2  1  15118.74857279       -               3.84309119740836E-5 0.0000 : pP51B1g(52) : Excited v=1 51 50      B1u - Ground v=0 52 51 B1g
SymmetricTop Excited  51  9  1 Ground  52  3  1  15118.74857279       -               3.84309119740836E-5 0.0000 : pP51B2g(52) : Excited v=1 51 50      B2u - Ground v=0 52 51 B2g
SymmetricTop Excited  50 10  2 Ground  51  4  1  15118.74922321       -               3.73838468075506E-5 0.0000 : pP49(51) : Excited v=1 50 48      E1u - Ground v=0 51 49 E1g
SymmetricTop Excited  49 10  3 Ground  50  4  2  15118.75019884       -               3.65384761613959E-5 0.0000 : pP47(50) : Excited v=1 49 46      E1u - Ground v=0 50 47 E1g
SymmetricTop Excited  48  8  2 Ground  49  2  1  15118.75149968       -               3.5878712879373E-5  0.0000 : pP45B1g(49) : Excited v=1 48 44      B1u - Ground v=0 49 45 B1g
SymmetricTop Excited  48  9  2 Ground  49  3  1  15118.75149968       -               3.5878712879373E-5  0.0000 : pP45B2g(49) : Excited v=1 48 44      B2u - Ground v=0 49 45 B2g
SymmetricTop Excited  47 10  3 Ground  48  4  2  15118.75312573       -               3.53912276288207E-5 0.0000 : pP43(48) : Excited v=1 47 42      E1u - Ground v=0 48 43 E1g
SymmetricTop Excited  31 11 17 Ground  32  5  9  15118.7618346625     -               3.5217748980028E-5  0.0000 : pP8(32) : Excited v=1 31  7      E2u - Ground v=0 32  8 E2g
SymmetricTop Excited  51 11  1 Ground  52  5  1  15118.7759143425     -               4.59496952188673E-5 0.0000 : pP52(52) : Excited v=1 51 51      E2u - Ground v=0 52 52 E2g
SymmetricTop Excited  50 11  1 Ground  51  5  1  15118.7762395525     -               4.44480567447729E-5 0.0000 : pP50(51) : Excited v=1 50 49      E2u - Ground v=0 51 50 E2g
SymmetricTop Excited  49  7  2 Ground  50  1  1  15118.7768899725     -               4.32017877243762E-5 0.0000 : pP48A2g(50) : Excited v=1 49 47      A2u - Ground v=0 50 48 A2g
SymmetricTop Excited  49  6  2 Ground  50  0  1  15118.7768899725     -               4.32017877243762E-5 0.0000 : pP48A1g(50) : Excited v=1 49 47      A1u - Ground v=0 50 48 A1g
SymmetricTop Excited  48 11  2 Ground  49  5  1  15118.7778656025     -               4.21878885628805E-5 0.0000 : pP46(49) : Excited v=1 48 45      E2u - Ground v=0 49 46 E2g
SymmetricTop Excited  47 11  4 Ground  48  5  2  15118.7791664425     -               4.13871058714128E-5 0.0000 : pP44(48) : Excited v=1 47 43      E2u - Ground v=0 48 44 E2g
SymmetricTop Excited  46  7  2 Ground  47  1  1  15118.7807924925     -               4.07833340938911E-5 0.0000 : pP42A2g(47) : Excited v=1 46 41      A2u - Ground v=0 47 42 A2g
SymmetricTop Excited  46  6  2 Ground  47  0  1  15118.7807924925     -               4.07833340938911E-5 0.0000 : pP42A1g(47) : Excited v=1 46 41      A1u - Ground v=0 47 42 A1g
SymmetricTop Excited  45 11  5 Ground  46  5  3  15118.7827437525     -               4.03630938838857E-5 0.0000 : pP40(46) : Excited v=1 45 39      E2u - Ground v=0 46 40 E2g
SymmetricTop Excited  44 11  5 Ground  45  5  3  15118.7850202225     -               4.01150646527524E-5 0.0000 : pP38(45) : Excited v=1 44 37      E2u - Ground v=0 45 38 E2g
SymmetricTop Excited  26  7  9 Ground  27  1  5  15118.8433475925     -               8.60471666575916E-5 0.0000 : rP0(27) : Excited v=1 26  1      A2u - Ground v=0 27  0 A2g
SymmetricTop Excited  49 11  1 Ground  50  5  1  15118.8307600525     -               6.09201890162387E-5 0.0000 : pP50(50) : Excited v=1 49 49      E2u - Ground v=0 50 50 E2g
SymmetricTop Excited  48  6  1 Ground  49  0  1  15118.8310852625     -               5.88340987715474E-5 0.0000 : pP48A1g(49) : Excited v=1 48 47      A1u - Ground v=0 49 48 A1g
SymmetricTop Excited  48  7  1 Ground  49  1  1  15118.8310852625     -               5.88340987715474E-5 0.0000 : pP48A2g(49) : Excited v=1 48 47      A2u - Ground v=0 49 48 A2g
SymmetricTop Excited  47 11  2 Ground  48  5  1  15118.8317356825     -               5.70852772889908E-5 0.0000 : pP46(48) : Excited v=1 47 45      E2u - Ground v=0 48 46 E2g
SymmetricTop Excited  46 11  3 Ground  47  5  2  15118.8327113125     -               5.56415336938677E-5 0.0000 : pP44(47) : Excited v=1 46 43      E2u - Ground v=0 47 44 E2g
SymmetricTop Excited  45  6  2 Ground  46  0  1  15118.8340121525     -               5.44755728628478E-5 0.0000 : pP42A1g(46) : Excited v=1 45 41      A1u - Ground v=0 46 42 A1g
SymmetricTop Excited  45  7  2 Ground  46  1  1  15118.8340121525     -               5.44755728628478E-5 0.0000 : pP42A2g(46) : Excited v=1 45 41      A2u - Ground v=0 46 42 A2g
SymmetricTop Excited  44 11  3 Ground  45  5  2  15118.8356382025     -               5.35641529371656E-5 0.0000 : pP40(45) : Excited v=1 44 39      E2u - Ground v=0 45 40 E2g
SymmetricTop Excited  43 11  5 Ground  44  5  3  15118.8375894625     -               5.28873412513908E-5 0.0000 : pP38(44) : Excited v=1 43 37      E2u - Ground v=0 44 38 E2g
SymmetricTop Excited  25  6  9 Ground  26  0  5  15118.8900630525     -               9.7775426700781E-5  0.0000 : rP0(26) : Excited v=1 25  1      A1u - Ground v=0 26  0 A1g
SymmetricTop Excited  46 10  1 Ground  47  4  1  15118.91180908       -               9.05851126988939E-5 0.0000 : pP47(47) : Excited v=1 46 46      E1u - Ground v=0 47 47 E1g
SymmetricTop Excited  45  9  1 Ground  46  3  1  15118.91213429       -               8.72481286934369E-5 0.0000 : pP45B2g(46) : Excited v=1 45 44      B2u - Ground v=0 46 45 B2g
SymmetricTop Excited  45  8  1 Ground  46  2  1  15118.91213429       -               8.72481286934369E-5 0.0000 : pP45B1g(46) : Excited v=1 45 44      B1u - Ground v=0 46 45 B1g
SymmetricTop Excited  47  7  1 Ground  48  1  1  15118.8849553425     -               7.96448975225975E-5 0.0000 : pP48A2g(48) : Excited v=1 47 47      A2u - Ground v=0 48 48 A2g
SymmetricTop Excited  47  6  1 Ground  48  0  1  15118.8849553425     -               7.96448975225975E-5 0.0000 : pP48A1g(48) : Excited v=1 47 47      A1u - Ground v=0 48 48 A1g
SymmetricTop Excited  46 11  1 Ground  47  5  1  15118.8852805525     -               7.67827108306639E-5 0.0000 : pP46(47) : Excited v=1 46 45      E2u - Ground v=0 47 46 E2g
