    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  84  6 25 Ground  85  0 13  15118.217424967      -               1.45085641720551E-6 0.0000 : pP12A1g(85) : Excited v=1 84 11      A1u - Ground v=0 85 12 A1g
SymmetricTop Excited  83 11 52 Ground  84  5 26  15118.203735135      -               1.44089500994113E-6 0.0000 : pP8(84) : Excited v=1 83  7      E2u - Ground v=0 84  8 E2g
SymmetricTop Excited  85  9 24 Ground  86  3 12  15118.221624912      -               1.42331785603008E-6 0.0000 : pP15B2g(86) : Excited v=1 85 14      B2u - Ground v=0 86 15 B2g
SymmetricTop Excited  85  8 24 Ground  86  2 12  15118.221624912      -               1.42331785603008E-6 0.0000 : pP15B1g(86) : Excited v=1 85 14      B1u - Ground v=0 86 15 B1g
SymmetricTop Excited  65 10 16 Ground  66  4  9  15118.221405208      -               1.41820000865832E-6 0.0000 : rP41(66) : Excited v=1 65 42      E1u - Ground v=0 66 41 E1g
SymmetricTop Excited  84 10 51 Ground  85  4 26  15118.20753734       -               1.40996233980473E-6 0.0000 : pP11(85) : Excited v=1 84 10      E1u - Ground v=0 85 11 E1g
SymmetricTop Excited  83 10 51 Ground  84  4 26  15118.194006604      -               1.40245837537019E-6 0.0000 : pP7(84) : Excited v=1 83  6      E1u - Ground v=0 84  7 E1g
SymmetricTop Excited  86  7 24 Ground  87  1 12  15118.226103275      -               1.39865793196306E-6 0.0000 : pP18A2g(87) : Excited v=1 86 17      A2u - Ground v=0 87 18 A2g
SymmetricTop Excited  86  6 24 Ground  87  0 12  15118.226103275      -               1.39865793196306E-6 0.0000 : pP18A1g(87) : Excited v=1 86 17      A1u - Ground v=0 87 18 A1g
SymmetricTop Excited  66 10 18 Ground  67  4 10  15118.19721504       -               1.38265859690782E-6 0.0000 : rP41(67) : Excited v=1 66 42      E1u - Ground v=0 67 41 E1g
SymmetricTop Excited  85 11 49 Ground  86  5 25  15118.211617963      -               1.38155477981675E-6 0.0000 : pP14(86) : Excited v=1 85 13      E2u - Ground v=0 86 14 E2g
SymmetricTop Excited  87  8 23 Ground  88  2 12  15118.230860056      -               1.37706813696862E-6 0.0000 : pP21B1g(88) : Excited v=1 87 20      B1u - Ground v=0 88 21 B1g
SymmetricTop Excited  87  9 23 Ground  88  3 12  15118.230860056      -               1.37706813696862E-6 0.0000 : pP21B2g(88) : Excited v=1 87 20      B2u - Ground v=0 88 21 B2g
SymmetricTop Excited  84 11 50 Ground  85  5 25  15118.197689487      -               1.37084476738711E-6 0.0000 : pP10(85) : Excited v=1 84  9      E2u - Ground v=0 85 10 E2g
SymmetricTop Excited  86 10 48 Ground  87  4 24  15118.215977004      -               1.35591671272064E-6 0.0000 : pP17(87) : Excited v=1 86 16      E1u - Ground v=0 87 17 E1g
SymmetricTop Excited  65  7  8 Ground  66  1  5  15118.213625603      -               1.34178292368874E-6 0.0000 : rP42A2g(66) : Excited v=1 65 43      A2u - Ground v=0 66 42 A2g
SymmetricTop Excited  65  6  8 Ground  66  0  5  15118.213625603      -               1.34178292368874E-6 0.0000 : rP42A1g(66) : Excited v=1 65 43      A1u - Ground v=0 66 42 A1g
SymmetricTop Excited  85 10 49 Ground  86  4 25  15118.201650788      -               1.34165086541887E-6 0.0000 : pP13(86) : Excited v=1 85 12      E1u - Ground v=0 86 13 E1g
SymmetricTop Excited  87 11 47 Ground  88  5 24  15118.220614463      -               1.33323734235165E-6 0.0000 : pP20(88) : Excited v=1 87 19      E2u - Ground v=0 88 20 E2g
SymmetricTop Excited  86 11 47 Ground  87  5 24  15118.205890507      -               1.31512296114526E-6 0.0000 : pP16(87) : Excited v=1 86 15      E2u - Ground v=0 87 16 E2g
SymmetricTop Excited  88 10 45 Ground  89  4 23  15118.22553034       -               1.31366635949139E-6 0.0000 : pP23(89) : Excited v=1 88 22      E1u - Ground v=0 89 23 E1g
