nm	int
310.96001	-19.10416
310.9615	-5.31573
310.963	-10.8659
310.9645	6.60278
310.96599	34.78486
310.96749	15.38292
310.96901	29.75509
310.97051	29.18791
310.972	15.07721
310.9735	7.45443
310.97499	27.62777
310.97649	-13.32814
310.97801	-9.8231
310.97951	-2.2706
310.98101	-2.39051
310.9825	-7.87501
310.984	3.81745
310.98549	-18.27655
310.98699	-38.07801
310.98851	-58.63372
310.99001	-55.75422
310.9915	-58.73093
310.993	-23.92783
310.99449	-18.24086
310.99599	-38.13846
310.99748	-51.9176
310.99901	-60.72218
311.00051	-64.37911
311.002	-67.37339
311.0035	-41.53122
311.00499	-31.77776
311.00649	-10.05426
311.00801	-2.03684
311.00951	17.1036
311.011	36.95003
311.0125	37.94273
311.01399	52.18011
311.01549	29.33852
311.01699	21.9499
311.01851	25.44757
311.02001	25.72072
311.0215	34.29943
311.023	58.4933
311.02449	47.69569
311.02599	34.91957
311.02751	10.62685
311.02901	-7.21836
311.0305	-12.44013
311.032	-11.01379
311.0335	3.25342
311.03499	26.6985
311.03649	11.9655
311.03801	18.11853
311.03951	37.04983
311.041	20.2033
311.0425	52.74092
311.04399	60.68721
311.04549	61.9753
311.04701	61.26808
311.04851	70.77585
311.05001	71.18553
311.0515	58.15244
311.053	49.99016
311.05449	32.05954
311.05599	31.96507
311.05751	2.09065
311.05901	16.14125
311.0605	29.37126
311.062	57.42223
311.06349	81.58564
311.06499	86.82083
311.06649	80.707
311.06801	71.73488
311.06951	63.94799
311.071	37.00737
311.0725	34.10846
311.07399	42.08428
311.07549	32.12384
311.07701	5.74807
311.07851	8.15136
311.08	17.65278
311.0815	16.93361
311.083	29.20984
311.08449	53.44086
311.08599	53.11216
311.08751	43.17819
311.08901	40.05222
311.0905	16.94476
311.092	1.43086
311.09349	-17.96742
311.09499	-14.55076
311.09651	-16.38361
311.09801	-13.46172
311.09951	-8.09975
311.101	-19.48963
311.1025	-19.79728
311.10399	-25.30415
311.10549	4.9088
311.10701	22.35818
311.10851	53.08509
311.11	67.06689
311.1115	88.9774
311.11299	83.15358
311.11449	88.41253
311.11602	91.94013
311.11751	103.33179
311.11901	127.45533
311.1205	158.14998
311.122	151.27431
311.12349	183.55089
311.12499	196.42946
311.12651	193.37523
311.12801	196.43481
311.1295	226.3898
311.131	239.17102
311.13249	216.33456
311.13399	241.63867
311.13549	235.5026
311.13701	242.13053
311.13851	251.39524
311.14	298.77211
311.1415	308.18023
311.14299	327.56354
311.14449	348.74329
311.14601	361.20585
311.14751	342.15166
311.149	343.25104
311.1505	326.97913
311.152	289.7103
311.15349	257.43291
311.15499	245.75768
311.15651	233.35232
311.15801	220.66317
311.1595	231.24424
311.161	255.28668
311.16249	259.9344
311.16399	247.82977
311.16551	252.85947
311.16701	219.12242
311.16851	165.5654
311.17	143.35052
311.1715	105.48238
311.17299	65.08942
311.17449	74.57917
311.17601	74.13422
311.17751	55.79824
311.179	51.72169
311.1805	63.73
311.18199	36.1061
311.18349	26.34283
311.18498	23.87262
311.18651	47.57976
311.18801	26.85589
311.1895	24.63125
311.191	32.4984
311.19249	44.68113
311.19399	6.49916
311.19551	14.87373
311.19701	9.44424
311.1985	-4.38065
311.2	-3.90143
311.20149	4.8543
311.20299	-12.55492
311.20449	-7.18123
311.20601	-9.76476
311.20751	-15.20128
311.209	-32.24004
311.2105	-12.77327
311.21199	-17.11755
311.21349	-37.07794
311.21501	-32.60712
311.21651	-19.68695
311.218	-15.08699
311.2195	7.30566
311.221	50.67252
311.22249	47.73576
311.22399	48.34559
311.22551	48.10287
311.22701	37.03218
311.2285	28.28771
311.23	12.16941
311.23149	14.1727
311.23299	5.92422
