Filename                                                Object        Setting     Wave_min     Wave_max
HD152248/BLUE_346/HD152248_w346_n1_20170507_B.fits.gz   HD152248          346      3024.32      3884.30
HD152248/BLUE_346/HD152248_w346_n3_20170509_B.fits.gz   HD152248          346      3024.30      3884.32
HD152248/BLUE_437/HD152248_w437_n3_20170509_B.fits.gz   HD152248          437      3732.10      4999.72
HD152248/RED_564/HD152248_w564_n1_20170507_L.fits.gz    HD152248          564      4583.06      5644.22
HD152248/RED_564/HD152248_w564_n1_20170507_U.fits.gz    HD152248          564      5654.46      6686.46
HD152248/RED_564/HD152248_w564_n4_20170509_L.fits.gz    HD152248          564      4583.08      5644.22
HD152248/RED_564/HD152248_w564_n4_20170509_U.fits.gz    HD152248          564      5654.46      6686.48
HD152248/RED_860/HD152248_w860_n3_20170509_L.fits.gz    HD152248          860      6649.82      8544.26
HD152248/RED_860/HD152248_w860_n3_20170509_U.fits.gz    HD152248          860      8523.20     10426.12
HD152408/BLUE_346/HD152408_w346_n10_20160510_B.fits.gz  HD152408          346      3044.22      3916.66
HD152408/BLUE_346/HD152408_w346_n11_20160403_B.fits.gz  HD152408          346      3044.22      3916.66
HD152408/BLUE_346/HD152408_w346_n29_20150618_B.fits.gz  HD152408          346      3024.30      3884.34
HD152408/BLUE_437/HD152408_w437_n12_20160510_B.fits.gz  HD152408          437      3732.06      4999.72
HD152408/BLUE_437/HD152408_w437_n24_20150626_B.fits.gz  HD152408          437      3732.12      4999.76
HD152408/RED_564/HD152408_w564_n24_20150618_L.fits.gz   HD152408          564      4583.12      5644.28
HD152408/RED_564/HD152408_w564_n24_20150618_U.fits.gz   HD152408          564      5654.54      6686.52
HD152408/RED_564/HD152408_w564_n8_20160510_L.fits.gz    HD152408          564      4583.08      5644.26
HD152408/RED_564/HD152408_w564_n8_20160510_U.fits.gz    HD152408          564      5654.48      6686.42
HD152408/RED_564/HD152408_w564_n9_20160403_L.fits.gz    HD152408          564      4583.08      5644.26
HD152408/RED_564/HD152408_w564_n9_20160403_U.fits.gz    HD152408          564      5654.46      6686.44
HD152408/RED_860/HD152408_w860_n11_20160510_L.fits.gz   HD152408          860      6649.84      8544.28
HD152408/RED_860/HD152408_w860_n11_20160510_U.fits.gz   HD152408          860      8523.24     10426.18
