Wavelength          	  Flux
1.730069008921597924e+04 9.828909178565080618e-01
1.730063022713721148e+04 9.823167406193978879e-01
1.730057036547269672e+04 9.841619173753938243e-01
1.730051050422243134e+04 9.842901485663893002e-01
1.730045064338641168e+04 9.859568770407728389e-01
1.730039078296462321e+04 9.842145103727826250e-01
1.730033092295708411e+04 9.822816180560850485e-01
1.730027106336376892e+04 9.832892489707454331e-01
1.730021120418468854e+04 9.817455324123597338e-01
1.730015134541982843e+04 9.788512326679217335e-01
1.730009148706918495e+04 9.790521106008692742e-01
1.730003162913275810e+04 9.764535353859854494e-01
1.729997177161054424e+04 9.769293878723194213e-01
1.729991191450253245e+04 9.737606033176277043e-01
1.729985205780872275e+04 9.712757053629573756e-01
1.729979220152911512e+04 9.695494026804111209e-01
1.729973234566369865e+04 9.690980315219052121e-01
1.729967249021246971e+04 9.688536471193985866e-01
1.729961263517543557e+04 9.653683849628826863e-01
1.729955278055256713e+04 9.671789930262914003e-01
1.729949292634388257e+04 9.610683655533089897e-01
1.729943307254936371e+04 9.596708485514023890e-01
1.729937321916902511e+04 9.609957603670303827e-01
1.729931336620284128e+04 9.585995401082788581e-01
1.729925351365081224e+04 9.575268606860988241e-01
1.729919366151294525e+04 9.563892931782086437e-01
1.729913380978922942e+04 9.543075234906442939e-01
1.729907395847965381e+04 9.519348878136644210e-01
1.729901410758422571e+04 9.497647143051348717e-01
1.729895425710293057e+04 9.464759196972046817e-01
1.729889440703577202e+04 9.448357041265882383e-01
1.729883455738274642e+04 9.430821365481697471e-01
1.729877470814383196e+04 9.392101644233384894e-01
1.729871485931904681e+04 9.356861303306072131e-01
1.729865501090837643e+04 9.329442888002369427e-01
1.729859516291181717e+04 9.312326787318869759e-01
1.729853531532937268e+04 9.282681008791487942e-01
1.729847546816102476e+04 9.287323997876590909e-01
1.729841562140677343e+04 9.274398509141134062e-01
1.729835577506662594e+04 9.251455401878125873e-01
1.729829592914055684e+04 9.214728425822281688e-01
1.729823608362858431e+04 9.207514135319422310e-01
1.729817623853068653e+04 9.193407981101257009e-01
1.729811639384686350e+04 9.142404998522007942e-01
1.729805654957712250e+04 9.124167683456789746e-01
1.729799670572143805e+04 9.102238604873434946e-01
1.729793686227983562e+04 9.089319377464244454e-01
1.729787701925227884e+04 9.094244178800511280e-01
1.729781717663877862e+04 9.093348860860012151e-01
1.729775733443933495e+04 9.080532320238005051e-01
1.729769749265394057e+04 9.057352040719575115e-01
1.729763765128258456e+04 9.047978750437348783e-01
1.729757781032527055e+04 9.032469541989428530e-01
1.729751796978198399e+04 9.003927244132854391e-01
1.729745812965273944e+04 8.994626794978664019e-01
1.729739828993751507e+04 8.986584551118519393e-01
1.729733845063631088e+04 8.989191956797323302e-01
1.729727861174912323e+04 8.979160284460306896e-01
1.729721877327594848e+04 8.942061598688563206e-01
1.729715893521678299e+04 8.940902208617453883e-01
1.729709909757162313e+04 8.919530815848950578e-01
1.729703926034046162e+04 8.916680271378368827e-01
1.729697942352329846e+04 8.906207848647693659e-01
1.729691958712012638e+04 8.889598848134088183e-01
1.729685975113093446e+04 8.893965649582736832e-01
1.729679991555573724e+04 8.893600089123884223e-01
1.729674008039450928e+04 8.866655572847496058e-01
1.729668024564725420e+04 8.871055982607309875e-01
1.729662041131397928e+04 8.863098096161886597e-01
1.729656057739466269e+04 8.828013370241792890e-01
1.729650074388931171e+04 8.843489557369693665e-01
1.729644091079791178e+04 8.832013549820915133e-01
1.729638107812046655e+04 8.829461880964087905e-01
1.729632124585697602e+04 8.811611236043516149e-01
1.729626141400742199e+04 8.815768094770518593e-01
1.729620158257180810e+04 8.787374997291110823e-01
1.729614175155013436e+04 8.774124886290376457e-01
1.729608192094238620e+04 8.751920616887475246e-01
1.729602209074857092e+04 8.729736866323777322e-01
1.729596226096867758e+04 8.729099433350524517e-01
1.729590243160270256e+04 8.729253355531698677e-01
