Filename,Object,DateObs,setting,WaveMin,WaveMax
/HD23180/RED_564/HD23180_w564_redl_20141029_O17.fits,HD23180,2014-10-29T06:44:17.535,564,5215.5,5303.7
/HD23180/RED_564/HD23180_w564_redl_20160819_O1.fits,HD23180,2016-08-19T09:38:57.799,564,4583.1,4661.1
/HD23180/RED_564/HD23180_w564_redu_20141029_O11.fits,HD23180,2014-10-29T06:44:17.535,564,6237.8,6342.2
/HD23180/RED_564/HD23180_w564_n20_20141029_L.fits,HD23180,2014-10-29T06:39:38.809,564,4582.9,5644.3
/HD23180/RED_564/HD23180_w564_redl_20141029_O15.fits,HD23180,2014-10-29T06:44:17.535,564,5127.1,5213.9
/HD23180/RED_564/HD23180_w564_redl_20141029_O12.fits,HD23180,2014-10-29T06:44:17.535,564,4999.9,5084.6
/HD23180/RED_564/HD23180_w564_redl_20140923_O8.fits,HD23180,2014-09-23T08:52:57.637,564,4839.8,4922.0
/HD23180/RED_564/HD23180_w564_redu_20140923_O5.fits,HD23180,2014-09-23T08:52:57.637,564,5874.3,5972.9
/HD23180/RED_564/HD23180_w564_redu_20141029_O8.fits,HD23180,2014-10-29T06:44:17.535,564,6050.6,6152.0
/HD23180/RED_564/HD23180_w564_redu_20140923_O3.fits,HD23180,2014-09-23T08:52:57.637,564,5762.3,5859.2
/HD23180/RED_564/HD23180_w564_redl_20160819_O24.fits,HD23180,2016-08-19T09:38:57.799,564,5550.7,5644.2
/HD23180/RED_564/HD23180_w564_redl_20160819_O6.fits,HD23180,2016-08-19T09:38:57.799,564,4763.6,4844.6
/HD23180/RED_564/HD23180_w564_redl_20140923_O4.fits,HD23180,2014-09-23T08:52:57.637,564,4689.6,4769.4
/HD23180/RED_564/HD23180_w564_redl_20141029_O24.fits,HD23180,2014-10-29T06:44:17.535,564,5550.7,5644.3
/HD23180/RED_564/HD23180_w564_redl_20160819_O15.fits,HD23180,2016-08-19T09:38:57.799,564,5127.2,5213.9
/HD23180/RED_564/HD23180_w564_redl_20141029_O11.fits,HD23180,2014-10-29T06:44:17.535,564,4958.9,5043.0
/HD23180/RED_564/HD23180_w564_redu_20140923_O16.fits,HD23180,2014-09-23T08:52:57.637,564,6577.1,6686.6
/HD23180/RED_564/HD23180_w564_redu_20140923_O15.fits,HD23180,2014-09-23T08:52:57.637,564,6506.3,6614.8
/HD23180/RED_564/HD23180_w564_redl_20140923_O20.fits,HD23180,2014-09-23T08:52:57.637,564,5354.1,5444.5
/HD23180/RED_564/HD23180_w564_redl_20141029_O3.fits,HD23180,2014-10-29T06:44:17.535,564,4653.5,4732.7
/HD23180/RED_564/HD23180_w564_redl_20141029_O23.fits,HD23180,2014-10-29T06:44:17.535,564,5500.2,5593.0
/HD23180/RED_564/HD23180_w564_n20_20141029_U.fits,HD23180,2014-10-29T06:39:38.809,564,5654.5,6686.7
/HD23180/RED_564/HD23180_w564_redl_20140923_O14.fits,HD23180,2014-09-23T08:52:57.637,564,5084.0,5170.1
