Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
,,5.999999999909016,,,367126289729.3869,,,4.020229279241063,,,"(5, 300000000000.0, 3.50660350562479)",,,
,,5.999999999909016,,,206837310749.4698,,,-27.376880758740626,,,"(5, 100000000000.0, -28.37688075868669)",,,
HD 152424,4,5.999999999909016,,,660002956488.4886,,,-5.3402634803749685,,,"(5, 600000000000.0, -6.198864531985418)",443851333.36086357,858513.2173324247,
,,5.999999999908718,,,427686947417.27625,,,-15.622414735640628,,,"(5, 400000000000.0, -16.622410312989764)",,,
,,5.999999999909016,,,90586547102.82031,,,9.468633677649231,,,"(5, 50000000000.0, 10.468633677556552)",,,
,,5.999999999909016,,,217617254293.2415,,,-24.91246067834327,,,"(5, 200000000000.0, -25.88164200407643)",,,
HD 153919,5,4.752213937935923,,,1057495292389.4182,,,-14.35753713978264,,,"(3, 800000000000.0, -14.456418302972908)",71009375.55338332,128407.55072944543,
,,5.154206405213869,,,592495014081.585,,,-3.9871704008690063,,,"(3, 500000000000.0, -4.597225418534927)",,,
,,5.999999999208592,,,411367460390.0329,,,-25.8800233413711,,,"(5, 400000000000.0, -25.929213883364103)",,,
,,5.999999999909016,,,88459041825.35861,,,9.26645913536335,,,"(5, 40000000000.0, 10.266459133674482)",,,
,,3.00906484139214,,,86999384200.70801,,,-33.4260333662866,,,"(5, 100000000000.0, -32.71666475855805)",,,
HD 154043,3,5.999999999657204,,,69394939256.33698,,,-26.98452125402653,,,"(1, 50000000000.0, -25.984521254054)",108609519.75672592,198192.55430059475,
,,5.897501395338743,,,587146730592.624,,,-15.91311481160995,,,"(3, 400000000000.0, -14.964794972187754)",,,
,,5.628050922879258,,,511473784741.551,,,1.8764801286801949,,,"(3, 400000000000.0, 2.876480128652103)",,,
HD 154368,5,4.029592515007387,0.0579872452875556,1.4390349662303086,485421897825.5064,4826709502.246958,0.9943328728820563,-5.291101110146856,0.0251920971698949,0.47612201402811,"(4, 500000000000.0, -5.674622245380236)",61512141.84735327,126049.47099867473,
,,2.1262338716022686,0.3380702387866614,15.899955470651092,107944946387.57768,23662275581.821934,21.920688622941398,-14.017644692562053,0.2638788898263928,1.8824766614780184,"(3, 100000000000.0, -14.831737896489756)",,,
,,5.442233121809042,0.1054600788493671,1.9378089194075414,262928731906.54697,3744225815.634096,1.4240458958151863,6.585595039079644,0.0256748419713244,0.38986366180986026,"(3, 200000000000.0, 7.585595039051194)",,,
,,4.419700129947252,0.6338495382155351,14.341460270588538,62723324129.16566,9027389270.932695,14.392396124195622,-27.99563539705949,0.558790677833208,1.9959921248720802,"(3, 50000000000.0, -28.736159590680437)",,,
,,3.505327197748761,0.6368001316225959,18.166638824232166,160772187357.95847,29198676650.12332,18.161522294345982,-19.237808959890067,0.3615351040624941,1.879294595430685,"(3, 100000000000.0, -18.520666101052047)",,,
HD 155806,6,5.999999999909016,,,647884622342.4303,,,-7.740889773720318,,,"(5, 600000000000.0, -6.740889780746942)",734142716.816186,853654.321879286,
,,5.999999999181123,,,81601763085.89983,,,-25.11628432190259,,,"(5, 50000000000.0, -26.11628432180796)",,,
,,3.9213277297921074,,,37693449428.425934,,,-45.21054235769468,,,"(5, 60000000000.0, -45.06286036567717)",,,
,,5.999999985642451,,,274225122788.3068,,,0.4712360444381264,,,"(3, 200000000000.0, 0.724698406996683)",,,
,,2.560492662041852,,,10829464145.37102,,,12.841949254574615,,,"(3, 30000000000.0, 12.961028768644589)",,,
,,3.707066909222886,,,26145340961.52581,,,-35.80005470248947,,,"(5, 50000000000.0, -34.800131675232905)",,,
HD 156201,5,5.999999999909016,,,104284210242.24876,,,-39.445617275400494,,,"(5, 50000000000.0, -40.44560542706723)",143656811.57139996,234733.3522408496,
,,5.999999999909016,,,836182403629.223,,,-20.228952456750164,,,"(5, 700000000000.0, -20.639703322109494)",,,
,,5.632538823547657,,,962943326915.0544,,,-7.184079931385608,,,"(3, 600000000000.0, -6.314963584716463)",,,
,,5.767950814337148,,,513187958160.3976,,,2.347106507376757,,,"(5, 600000000000.0, 1.347106507410733)",,,
