Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3732.1,3790.2,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O1.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4169.4,4234.0,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O14.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4582.4,4653.2,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O24.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4059.6,4122.6,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O11.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4245.9,4311.7,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O16.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3922.0,3982.9,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O7.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4285.2,4351.6,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O17.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,3856.5,3916.6,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O5.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4722.7,4795.6,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O27.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4675.0,4747.2,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O26.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3824.7,3884.2,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O4.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4325.3,4392.3,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O18.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3955.5,4016.9,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O8.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4245.9,4311.7,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O16.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4450.2,4519.0,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O21.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,3989.6,4051.6,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O9.fits
