Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,8,9475.5390625,9611.828125,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O8.fits
HD 183143,291.86044,18.29586,2018-09-07T03:12:46.716,860,11,9940.634765625,10084.353515625,orders/HD183143_2018-09-07T03_05_52_860nm_redu_O11.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:09.758,564,10,6192.92333984375,6273.30517578125,orders/HD183143_2018-09-07T02_32_43_564nm_redu_O10.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,30,3742.259521484375,3780.3193359375,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O30.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,32,3803.494140625,3842.445556640625,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O32.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,3,4672.64013671875,4728.7744140625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O3.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,4,4708.74072265625,4765.44775390625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O4.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,5,4745.4052734375,4802.69384765625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O5.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,6,4782.64697265625,4840.52685546875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O6.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,7,4820.45703125,4878.96044921875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O7.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,8,4858.89501953125,4918.00927734375,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O8.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,9,4897.95263671875,4957.6875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O9.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,1,5673.46826171875,5745.60009765625,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O1.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,10,6192.91748046875,6273.30712890625,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O10.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,11,6256.5927734375,6337.98046875,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O11.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,12,6321.56591796875,6404.0,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O12.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,13,6387.9384765625,6471.408203125,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O13.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,14,6455.724609375,6540.25,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O14.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,15,6525.00146484375,6610.57177734375,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O15.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,16,6595.75537109375,6662.77734375,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O16.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,2,5726.833984375,5799.81201171875,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O2.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,3,5781.21630859375,5855.05615234375,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O3.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,4,5836.6171875,5911.36181640625,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O4.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,5,5893.12158203125,5968.76025390625,orders/HD183143_2018-09-03T01_57_46_564nm_redu_O5.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,24,5569.71044921875,5617.1806640625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O24.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,23,5519.21923828125,5588.908203125,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O23.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,22,5469.6376953125,5538.5400390625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O22.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,21,5420.9677734375,5489.0712890625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O21.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,33,3834.8466796875,3868.15185546875,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O33.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,4,3094.88720703125,3123.4375,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O4.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,5,3115.61474609375,3144.454833984375,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O5.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,6,3136.6220703125,3165.7705078125,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O6.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,7,3157.91552734375,3187.361572265625,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O7.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,8,3179.500244140625,3209.262939453125,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O8.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,9,3201.363037109375,3231.451904296875,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O9.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,1,4619.7138671875,4657.09619140625,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O1.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,10,4937.6455078125,4997.9951171875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O10.fits
HD 183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,31,3772.6279296875,3811.13818359375,orders/HD183143_2018-09-07T02_32_43_346nm_blue_O31.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,11,4977.96533203125,5038.9794921875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O11.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,13,5060.66845703125,5122.99755859375,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O13.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,14,5103.0625,5166.06591796875,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O14.fits
HD 183143,291.860771,18.29518,2018-09-03T02:08:56.580,564,15,5146.15087890625,5209.86376953125,orders/HD183143_2018-09-03T01_57_46_564nm_redl_O15.fits
